,weekday,time,consumption_kwh,consumption_kw
407,Thursday,05:45:00,1.2330769230769232,4.932307692307693
408,Thursday,06:00:00,1.5750000000000002,6.300000000000001
409,Thursday,06:15:00,1.7267307692307694,6.906923076923078
410,Thursday,06:30:00,1.8573076923076923,7.429230769230769
411,Thursday,06:45:00,2.039807692307692,8.159230769230769
412,Thursday,07:00:00,2.256153846153846,9.024615384615384
413,Thursday,07:15:00,2.254230769230769,9.016923076923076
414,Thursday,07:30:00,2.4971153846153844,9.988461538461538
415,Thursday,07:45:00,2.5140384615384614,10.056153846153846
416,Thursday,08:00:00,2.3565384615384617,9.426153846153847
417,Thursday,08:15:00,2.3030769230769232,9.212307692307693
418,Thursday,08:30:00,2.2178846153846155,8.871538461538462
419,Thursday,08:45:00,2.145192307692308,8.580769230769231
420,Thursday,09:00:00,2.124807692307692,8.499230769230769
421,Thursday,09:15:00,2.207307692307692,8.829230769230769
422,Thursday,09:30:00,2.228269230769231,8.913076923076924
423,Thursday,09:45:00,2.2521153846153847,9.008461538461539
424,Thursday,10:00:00,2.2742307692307695,9.096923076923078
425,Thursday,10:15:00,2.2442307692307693,8.976923076923077
426,Thursday,10:30:00,2.065,8.26
427,Thursday,10:45:00,2.0359615384615384,8.143846153846154
428,Thursday,11:00:00,2.018269230769231,8.073076923076924
429,Thursday,11:15:00,1.9615384615384615,7.846153846153846
430,Thursday,11:30:00,1.9109615384615386,7.643846153846154
431,Thursday,11:45:00,1.8959615384615385,7.583846153846154
432,Thursday,12:00:00,1.7165384615384616,6.866153846153846
433,Thursday,12:15:00,1.7690384615384613,7.076153846153845
434,Thursday,12:30:00,1.8440384615384615,7.376153846153846
435,Thursday,12:45:00,1.8878846153846154,7.5515384615384615
436,Thursday,13:00:00,2.0196153846153844,8.078461538461537
437,Thursday,13:15:00,2.1823076923076923,8.72923076923077
438,Thursday,13:30:00,2.1890384615384617,8.756153846153847
439,Thursday,13:45:00,2.0767307692307693,8.306923076923077
440,Thursday,14:00:00,1.9723076923076923,7.889230769230769
441,Thursday,14:15:00,1.8917307692307692,7.566923076923077
442,Thursday,14:30:00,1.9598076923076921,7.839230769230769
443,Thursday,14:45:00,1.9128846153846153,7.651538461538461
444,Thursday,15:00:00,1.9053846153846155,7.621538461538462
445,Thursday,15:15:00,1.7044230769230768,6.817692307692307
446,Thursday,15:30:00,1.6440384615384613,6.576153846153845
447,Thursday,15:45:00,1.5257692307692308,6.103076923076923
448,Thursday,16:00:00,1.455769230769231,5.823076923076924
449,Thursday,16:15:00,1.4373076923076922,5.749230769230769
450,Thursday,16:30:00,1.4130769230769231,5.6523076923076925
451,Thursday,16:45:00,1.4823076923076923,5.929230769230769
452,Thursday,17:00:00,1.501923076923077,6.007692307692308
453,Thursday,17:15:00,1.4988461538461537,5.995384615384615
454,Thursday,17:30:00,1.3505769230769231,5.4023076923076925
455,Thursday,17:45:00,1.2863461538461538,5.145384615384615
456,Thursday,18:00:00,1.22,4.88
457,Thursday,18:15:00,1.1861538461538461,4.7446153846153845
458,Thursday,18:30:00,1.2163461538461537,4.865384615384615
459,Thursday,18:45:00,1.1732692307692307,4.693076923076923
460,Thursday,19:00:00,1.1305769230769231,4.522307692307693
461,Thursday,19:15:00,1.2490384615384615,4.996153846153846
462,Thursday,19:30:00,1.396923076923077,5.587692307692308
463,Thursday,19:45:00,1.3634615384615385,5.453846153846154
464,Thursday,20:00:00,1.3782692307692308,5.513076923076923
465,Thursday,20:15:00,1.300576923076923,5.202307692307692
466,Thursday,20:30:00,1.1611538461538462,4.644615384615385
467,Thursday,20:45:00,1.0988461538461538,4.395384615384615
468,Thursday,21:00:00,1.135576923076923,4.542307692307692
469,Thursday,21:15:00,1.1515384615384616,4.6061538461538465
470,Thursday,21:30:00,1.143269230769231,4.573076923076924
